slug,layer,class,n,frac,shift_mean_abs,shift_median_abs,shift_p95_abs,shift_max_abs,shift_mean_signed,norm_ratio_mean,norm_ratio_median
llama-dpo,11,aligned_only,2640,0.107422,1.47922e-05,4.19621e-06,5.78755e-05,0.000487206,1.39818e-05,1.38395,1.33354
llama-dpo,11,base_only,388,0.0157878,2.17606e-05,1.43322e-05,6.22007e-05,0.000357361,-2.1642e-05,0.602047,0.61856
llama-dpo,11,shared_aligned,1476,0.0600586,0.00528941,0.000239081,0.0315292,0.972448,0.00139179,0.999885,1
llama-dpo,11,shared_attenuated,2167,0.0881755,1.65761e-05,3.73334e-06,7.75927e-05,0.000370222,-1.59818e-05,0.759154,0.76631
llama-dpo,11,shared_intermediate,3,0.00012207,1.55256e-05,2.30953e-05,2.32566e-05,2.32745e-05,-1.55256e-05,0.981336,0.959954
llama-dpo,11,shared_redirected,17902,0.728434,0.00048529,1.66063e-06,6.81693e-05,0.0762898,-4.92843e-05,1.00613,1.00138
llama-grpo,11,aligned_only,2607,0.106079,1.37045e-05,3.43024e-06,5.52519e-05,0.000433614,1.28521e-05,1.36849,1.32354
llama-grpo,11,base_only,366,0.0148926,2.01953e-05,1.3138e-05,5.92821e-05,0.000326591,-2.00893e-05,0.60465,0.619152
llama-grpo,11,shared_aligned,1475,0.0600179,0.00832667,0.000270471,0.0504231,1.00768,0.00256164,0.999932,1
llama-grpo,11,shared_attenuated,2158,0.0878092,2.355e-05,3.15014e-06,7.47249e-05,0.0163399,-2.30941e-05,0.761043,0.768248
llama-grpo,11,shared_intermediate,1,4.06901e-05,1.96729e-05,1.96729e-05,1.96729e-05,1.96729e-05,-1.96729e-05,0.877944,0.877944
llama-grpo,11,shared_redirected,17969,0.73116,0.000480467,1.3671e-06,6.20859e-05,0.0734802,-4.73241e-05,1.00493,1.00111
llama-kto,11,aligned_only,917,0.0373128,4.68272e-05,1.56239e-05,9.52492e-05,0.0164838,1.07402e-05,1.76814,1.65008
llama-kto,11,base_only,388,0.0157878,1.89974e-05,1.38648e-05,5.41781e-05,0.000202631,-1.89279e-05,0.605634,0.62305
llama-kto,11,shared_aligned,1475,0.0600179,0.0942162,0.000866768,0.141294,7.08325,0.07056,0.999932,1
llama-kto,11,shared_attenuated,1881,0.0765381,0.000113817,4.07322e-06,7.15138e-05,0.0544623,-8.62984e-05,0.752513,0.758343
llama-kto,11,shared_intermediate,8,0.000325521,5.30283e-05,4.91937e-05,0.000109544,0.000121078,3.25138e-05,1.20096,1.22344
llama-kto,11,shared_redirected,19907,0.810018,0.000446271,1.74315e-06,5.07559e-05,0.0756825,-3.82528e-05,1.04454,1.01925
llama-orpo,11,aligned_only,708,0.0288086,0.010039,0.000262812,0.00412997,4.32878,0.010039,29722.8,5.13877
llama-orpo,11,base_only,1095,0.0445557,6.53262e-05,4.08442e-05,0.000204536,0.000733718,-6.52513e-05,0.592622,0.608067
llama-orpo,11,shared_aligned,1474,0.0599772,0.0175807,0.00120481,0.0462491,2.29683,0.000645661,1,1
llama-orpo,11,shared_attenuated,2290,0.0931803,6.25643e-05,1.48394e-05,8.79226e-05,0.0469087,-6.21054e-05,0.735291,0.738198
llama-orpo,11,shared_intermediate,245,0.00996908,0.000197919,0.000155155,0.000524331,0.0010599,0.000183521,2.05153,2.13219
llama-orpo,11,shared_redirected,18764,0.763509,0.000442889,9.81989e-06,0.000115735,0.0734852,-5.72912e-05,1.12138,1.02736
llama-simpo,11,aligned_only,2606,0.106038,1.4945e-05,4.27767e-06,6.02335e-05,0.000508836,1.41762e-05,1.38437,1.33598
llama-simpo,11,base_only,382,0.0155436,8.7194e-05,1.40819e-05,6.73809e-05,0.025076,4.41865e-05,0.602297,0.617819
llama-simpo,11,shared_aligned,1475,0.0600179,0.00638713,0.000228819,0.034262,0.854671,0.00137352,0.999934,1
llama-simpo,11,shared_attenuated,2142,0.0871582,1.66146e-05,3.61183e-06,8.23131e-05,0.000368979,-1.61004e-05,0.759427,0.766465
llama-simpo,11,shared_intermediate,2,8.13802e-05,2.51363e-05,2.51363e-05,3.13578e-05,3.20491e-05,-2.51363e-05,0.912081,0.912081
llama-simpo,11,shared_redirected,17969,0.73116,0.000486165,1.70696e-06,7.09712e-05,0.0734732,-4.01392e-05,1.00644,1.0015
qwen-dpo,24,aligned_only,7782,0.37998,0.00172389,0.000727874,0.00538772,0.0796746,0.00127923,1.06722,1.04896
qwen-dpo,24,base_only,3,0.000146484,0.0149356,0.0177743,0.0238835,0.0245623,-0.0149356,0.610623,0.620389
qwen-dpo,24,shared_aligned,2298,0.112207,0.0583287,0.00130679,0.342342,2.65245,0.00836388,1.00014,1
qwen-dpo,24,shared_attenuated,7477,0.365088,0.0014963,0.000718681,0.00481422,0.0783822,-0.00101593,0.940091,0.95455
qwen-dpo,24,shared_intermediate,1028,0.0501953,0.00125378,0.000781991,0.00309763,0.0447909,-4.10041e-05,1.00013,1.00025
qwen-dpo,24,shared_redirected,1892,0.0923828,0.000395048,0,0.000801328,0.0465861,-0.000133539,1.00023,1.00028
qwen-grpo,24,aligned_only,7575,0.369873,0.00202916,0.000730431,0.00537487,1.28213,0.00161655,198.81,1.04816
qwen-grpo,24,shared_aligned,2373,0.115869,0.211779,0.00129978,0.663682,43.1647,0.0891223,0.999318,1
qwen-grpo,24,shared_attenuated,7383,0.360498,0.00157013,0.000739632,0.00478612,0.0826057,-0.00101088,0.937813,0.951983
qwen-grpo,24,shared_intermediate,1085,0.0529785,0.00109729,0.0007559,0.00300732,0.0439803,0.000109577,0.999094,0.998889
qwen-grpo,24,shared_redirected,2064,0.100781,0.000345142,0,0.000782847,0.0501796,-0.000101881,0.999129,0.999162
qwen-kto,24,aligned_only,7,0.000341797,0.423909,0.327352,1.03737,1.25464,0.272358,334834,185806
qwen-kto,24,shared_aligned,2822,0.137793,0.00192637,0.000778457,0.00664528,0.0881491,0.00114435,1.05629,1.0463
qwen-kto,24,shared_attenuated,9020,0.44043,0.0201457,0.000643528,0.0152962,5.65355,0.00207612,0.959812,0.974263
qwen-kto,24,shared_intermediate,4417,0.215674,0.00174121,0.00103559,0.00466752,0.0876237,0.00115378,1.07876,1.06134
qwen-kto,24,shared_redirected,4214,0.205762,0.00108905,8.23638e-05,0.00167372,0.0946975,0.000909957,1.04251,1.02734
qwen-orpo,24,aligned_only,202,0.00986328,1.77527,1.40717,4.18708,15.1879,-1.04636,8157.18,195.273
qwen-orpo,24,base_only,16,0.00078125,0.401478,0.23648,1.08434,1.49631,-0.194663,0.506505,0.522401
qwen-orpo,24,other,6,0.000292969,0.883975,0.685411,1.82858,1.94551,0.168914,9.65733,9.60264
qwen-orpo,24,shared_aligned,1073,0.0523926,0.00976047,0.0010988,0.00700515,5.69096,-0.00554978,1.1434,1.11624
qwen-orpo,24,shared_attenuated,11574,0.565137,0.0259702,0.000659562,0.0083107,16.5522,0.00123433,0.994156,1
qwen-orpo,24,shared_intermediate,6096,0.297656,0.0116517,0.00134176,0.00576743,4.06467,-0.0082107,1.15538,1.11836
qwen-orpo,24,shared_redirected,1513,0.073877,0.0471002,0.00077289,0.28242,3.40717,-0.00526498,1.29373,1.1122
qwen-simpo,24,aligned_only,7876,0.38457,0.00172041,0.00071893,0.00516162,0.0791198,0.00127436,1.06644,1.04844
qwen-simpo,24,base_only,1,4.88281e-05,0.0117031,0.0117031,0.0117031,0.0117031,-0.0117031,0.637029,0.637029
qwen-simpo,24,shared_aligned,2245,0.109619,0.0627591,0.00137973,0.353484,3.30944,0.0064368,1.00034,1
qwen-simpo,24,shared_attenuated,7625,0.372314,0.00152765,0.00069539,0.00478195,0.0827373,-0.00102086,0.941003,0.955121
qwen-simpo,24,shared_intermediate,931,0.045459,0.00121012,0.00075467,0.00306573,0.0457201,-6.06786e-05,1.00101,1.00138
qwen-simpo,24,shared_redirected,1802,0.0879883,0.000368664,0,0.000784053,0.049414,-0.000102938,1.00062,1.00057
smollm-dpo,19,aligned_only,1967,0.120056,4.96945e-05,2.765e-05,0.000143661,0.00184957,4.7342e-05,1.53756,1.44475
smollm-dpo,19,base_only,695,0.0424194,6.06369e-05,4.32099e-05,0.000144896,0.00173141,-5.56446e-05,0.582811,0.600947
smollm-dpo,19,shared_aligned,986,0.0601807,0.00536896,0.000470606,0.0223864,0.356055,9.22017e-05,0.999475,1
smollm-dpo,19,shared_attenuated,918,0.0560303,5.0763e-05,2.37493e-05,0.000224917,0.00138757,-4.75827e-05,0.717391,0.7193
smollm-dpo,19,shared_intermediate,41,0.00250244,3.24426e-05,2.7289e-05,9.01716e-05,0.000155281,1.96568e-07,1.01857,0.999681
smollm-dpo,19,shared_redirected,11777,0.718811,5.35709e-05,8.20369e-06,0.000159959,0.00296619,-1.85966e-06,1.00693,0.998144
smollm-grpo,19,aligned_only,1820,0.111084,5.14797e-05,2.87656e-05,0.000150607,0.00165972,4.35609e-05,1.55577,1.45864
smollm-grpo,19,base_only,702,0.0428467,5.91677e-05,4.41957e-05,0.000144284,0.000603857,-5.91677e-05,0.582075,0.598519
smollm-grpo,19,shared_aligned,987,0.0602417,0.00935838,0.000568133,0.0274076,0.731762,0.000288835,0.999505,1
smollm-grpo,19,shared_attenuated,993,0.0606079,5.50168e-05,2.30814e-05,0.000277286,0.00175057,-4.56538e-05,0.720204,0.723667
smollm-grpo,19,shared_intermediate,47,0.00286865,3.59033e-05,3.036e-05,9.9445e-05,0.000151655,1.56864e-06,1.03582,1.04273
smollm-grpo,19,shared_redirected,11835,0.722351,5.36242e-05,8.19966e-06,0.000166332,0.00298409,-2.55392e-07,1.01117,0.999839
smollm-kto,19,aligned_only,656,0.0400391,5.70568e-05,1.53751e-05,0.000121917,0.0164939,5.66975e-05,259.73,1.62424
smollm-kto,19,base_only,284,0.017334,3.13525e-05,1.66631e-05,0.000121682,0.000394275,-3.12844e-05,0.614135,0.626422
smollm-kto,19,shared_aligned,988,0.0603027,0.128571,0.00190002,0.603075,8.11447,0.046931,1.00086,1
smollm-kto,19,shared_attenuated,1534,0.0936279,2.55275e-05,8.47562e-06,0.000115841,0.001571,-1.96401e-05,0.760103,0.769129
smollm-kto,19,shared_intermediate,44,0.00268555,9.13031e-05,4.2218e-05,0.000189019,0.00152577,7.3585e-05,1.16003,1.08463
smollm-kto,19,shared_redirected,12878,0.786011,3.61511e-05,0,5.74969e-05,0.00294179,-8.50576e-08,1.0655,1.04264
smollm-orpo,19,aligned_only,2079,0.126892,3.98821e-05,1.66007e-05,0.000128191,0.00165915,3.16925e-05,1.44446,1.37542
smollm-orpo,19,base_only,533,0.0325317,5.07755e-05,3.63856e-05,0.000143423,0.000385125,-5.07647e-05,0.598668,0.613166
smollm-orpo,19,shared_aligned,986,0.0601807,0.142053,0.00204539,0.855586,5.45477,0.04956,0.999785,1
smollm-orpo,19,shared_attenuated,1584,0.0966797,3.52119e-05,1.67349e-05,0.000133465,0.00162397,-3.29216e-05,0.743159,0.748996
smollm-orpo,19,shared_intermediate,32,0.00195312,3.67851e-05,2.5008e-05,9.73773e-05,0.000140073,-2.32204e-06,1.00355,0.978982
smollm-orpo,19,shared_redirected,11170,0.681763,4.41253e-05,5.113e-06,9.99441e-05,0.00291721,-6.0443e-06,1.00539,0.997445
smollm-simpo,19,aligned_only,1840,0.112305,5.31585e-05,2.80846e-05,0.000146384,0.00180452,4.60123e-05,1.55297,1.4606
smollm-simpo,19,base_only,680,0.0415039,6.05137e-05,4.29131e-05,0.000144789,0.00169125,-5.55294e-05,0.583128,0.602508
smollm-simpo,19,shared_aligned,987,0.0602417,0.0059388,0.000487067,0.0264188,0.349585,0.00060459,0.999468,1
smollm-simpo,19,shared_attenuated,1006,0.0614014,5.4431e-05,2.32603e-05,0.000268883,0.00163378,-4.82314e-05,0.720442,0.723384
smollm-simpo,19,shared_intermediate,44,0.00268555,3.47543e-05,2.60426e-05,0.000102709,0.000146352,5.03831e-07,1.03581,1.0254
smollm-simpo,19,shared_redirected,11827,0.721863,5.18927e-05,7.98343e-06,0.000147988,0.00293717,-7.19248e-07,1.01216,1.0015
